ID;Ürün Adı;Kategori;Alt Kategori;Hizmet Türü;Fiyat (TL);Popüler
ust-gundu-z-batch8;ÜST GÜNDÜZ;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
ust-gundu-z-batch8;ÜST GÜNDÜZ;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
ust-gundu-z-batch8;ÜST GÜNDÜZ;erkek-giyim;erkek-ust-giyim;yikama;500;EVET
ust-gece-batch8;ÜST GECE;erkek-giyim;erkek-ust-giyim;kuru-temizleme;750;EVET
ust-gece-batch8;ÜST GECE;erkek-giyim;erkek-ust-giyim;utuleme;400;HAYIR
ust-gece-batch8;ÜST GECE;erkek-giyim;erkek-ust-giyim;yikama;750;EVET
ust-japon-yagligi-batch8;ÜST JAPON YAĞLIĞI;erkek-giyim;erkek-ust-giyim;kuru-temizleme;750;EVET
ust-japon-yagligi-batch8;ÜST JAPON YAĞLIĞI;erkek-giyim;erkek-ust-giyim;utuleme;400;HAYIR
ust-japon-yagligi-batch8;ÜST JAPON YAĞLIĞI;erkek-giyim;erkek-ust-giyim;yikama;750;EVET
ust-kilot-batch8;ÜST KILOT;erkek-giyim;erkek-ust-giyim;kuru-temizleme;150;EVET
ust-kilot-batch8;ÜST KILOT;erkek-giyim;erkek-ust-giyim;utuleme;100;HAYIR
ust-kilot-batch8;ÜST KILOT;erkek-giyim;erkek-ust-giyim;yikama;150;EVET
ust-elbise-gece-batch8;ÜST ELBİSE GECE;kadin-giyim;kadin-ust-giyim;kuru-temizleme;850;EVET
ust-elbise-gece-batch8;ÜST ELBİSE GECE;kadin-giyim;kadin-ust-giyim;utuleme;400;HAYIR
ust-elbise-gece-batch8;ÜST ELBİSE GECE;kadin-giyim;kadin-ust-giyim;yikama;850;EVET
ust-elbise-gundu-z-batch8;ÜST ELBİSE GÜNDÜZ;kadin-giyim;kadin-ust-giyim;kuru-temizleme;600;EVET
ust-elbise-gundu-z-batch8;ÜST ELBİSE GÜNDÜZ;kadin-giyim;kadin-ust-giyim;utuleme;250;HAYIR
