ID;Ürün Adı;Kategori;Alt Kategori;Hizmet Türü;Fiyat (TL);Popüler
fantezi-ceket-batch7;FANTEZİ CEKET;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
fantezi-ceket-batch7;FANTEZİ CEKET;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
fantezi-ceket-batch7;FANTEZİ CEKET;erkek-giyim;erkek-ust-giyim;yikama;500;EVET
futbol-forması-batch7;FUTBOL FORMASI;erkek-giyim;erkek-ust-giyim;kuru-temizleme;250;EVET
futbol-forması-batch7;FUTBOL FORMASI;erkek-giyim;erkek-ust-giyim;utuleme;150;HAYIR
futbol-forması-batch7;FUTBOL FORMASI;erkek-giyim;erkek-ust-giyim;yikama;250;EVET
gabardin-pantolon-batch7;GABARDİN PANTOLON;erkek-giyim;erkek-alt-giyim;kuru-temizleme;300;EVET
gabardin-pantolon-batch7;GABARDİN PANTOLON;erkek-giyim;erkek-alt-giyim;utuleme;150;HAYIR
gabardin-pantolon-batch7;GABARDİN PANTOLON;erkek-giyim;erkek-alt-giyim;yikama;300;EVET
gotik-elbi-se-batch7;GOTİK ELBİSE;kadin-giyim;kadin-ust-giyim;kuru-temizleme;1000;EVET
gotik-elbi-se-batch7;GOTİK ELBİSE;kadin-giyim;kadin-ust-giyim;utuleme;500;HAYIR
gotik-elbi-se-batch7;GOTİK ELBİSE;kadin-giyim;kadin-ust-giyim;yikama;1000;EVET
hırka-i-pek-batch7;HIRKA İPEK;kadin-giyim;kadin-ust-giyim;kuru-temizleme;450;EVET
hırka-i-pek-batch7;HIRKA İPEK;kadin-giyim;kadin-ust-giyim;utuleme;250;HAYIR
hırka-i-pek-batch7;HIRKA İPEK;kadin-giyim;kadin-ust-giyim;yikama;450;EVET
i-pek-elbi-se-batch7;İPEK ELBİSE;kadin-giyim;kadin-ust-giyim;kuru-temizleme;900;EVET
i-pek-elbi-se-batch7;İPEK ELBİSE;kadin-giyim;kadin-ust-giyim;utuleme;400;HAYIR
i-pek-elbi-se-batch7;İPEK ELBİSE;kadin-giyim;kadin-ust-giyim;yikama;900;EVET
i-pek-etek-batch7;İPEK ETEK;kadin-giyim;kadin-ust-giyim;kuru-temizleme;450;EVET
i-pek-etek-batch7;İPEK ETEK;kadin-giyim;kadin-ust-giyim;utuleme;250;HAYIR
