file_name,url,neighborhood,district,service,title_length,meta_length,status,timestamp
bolgelerkadikoycamlica-gelinlik-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/camlica-gelinlik-temizleme.html,Çamlıca,Kadıköy,Gelinlik Temizleme,47,135,success,2025-08-16T19:48:01.666896
bolgelerkadikoycamlica-abiye-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/camlica-abiye-temizleme.html,Çamlıca,Kadıköy,Abiye Temizleme,44,132,success,2025-08-16T19:48:01.667999
bolgelerkadikoycamlica-valiz-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/camlica-valiz-temizleme.html,Çamlıca,Kadıköy,Valiz Temizleme,44,132,success,2025-08-16T19:48:01.669009
bolgelerkadikoycamlica-bavul-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/camlica-bavul-temizleme.html,Çamlıca,Kadıköy,Bavul Temizleme,44,132,success,2025-08-16T19:48:01.669897
bolgelerkadikoycamlica-hali-yikama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/camlica-hali-yikama.html,Çamlıca,Kadıköy,Halı Yıkama,40,128,success,2025-08-16T19:48:01.670794
bolgelerkadikoycamlica-koltuk-yikama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/camlica-koltuk-yikama.html,Çamlıca,Kadıköy,Koltuk Yıkama,42,130,success,2025-08-16T19:48:01.671606
bolgelerkadikoycamlica-perde-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/camlica-perde-temizleme.html,Çamlıca,Kadıköy,Perde Temizleme,44,132,success,2025-08-16T19:48:01.672832
bolgelerkadikoycamlica-ev-tekstili-temizligi.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/camlica-ev-tekstili-temizligi.html,Çamlıca,Kadıköy,Ev Tekstili Temizliği,50,138,success,2025-08-16T19:48:01.673881
bolgelerkadikoycamlica-canta-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/camlica-canta-temizleme.html,Çamlıca,Kadıköy,Çanta Temizleme,44,132,success,2025-08-16T19:48:01.674866
bolgelerkadikoycamlica-kumas-deri-boyama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/camlica-kumas-deri-boyama.html,Çamlıca,Kadıköy,Kumaş Deri Boyama,46,134,success,2025-08-16T19:48:01.675806
